No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,1,4.7uF,C1,C0603,4.7uF,CL10A475KO8NNNC,SAMSUNG(三星),C19666,LCSC
2,1,10uF,C2,C0603,10uF,CL10A106KP8NNNC,SAMSUNG(三星),C19702,LCSC
3,1,100nF,C3,C0603,100nF,CL10B104KB8NNNC,SAMSUNG(三星),C1591,LCSC
4,1,1uF,C4,C0603,1uF,CL10A105KB8NNNC,SAMSUNG(三星),C15849,LCSC
5,2,47pF,"C5,C6",C0603,47pF,CL10C470JB8NNNC,SAMSUNG(三星),C1671,LCSC
6,2,10kΩ,"R1,R4",R0603,10kΩ,RC1608F103CS,SAMSUNG(三星),C17441167,LCSC
7,2,22Ω,"R2,R3",R0603,22Ω,0603WAF220JT5E,UNI-ROYAL(厚声),C23345,LCSC
8,4,KH-6X6X5H-STM,"RST,SW2,SW3,SW4",SW-SMD_4P-L6.0-W6.0-P4.50-LS9.0_H5.0,,KH-6X6X5H-STM,kinghelm(金航标),C2837531,LCSC
9,1,ESP32-S3-WROOM-1-N8R8,U1,WIRELM-SMD_ESP32-S3-WROOM-1,,ESP32-S3-WROOM-1-N8R8,ESPRESSIF(乐鑫),C2913201,LCSC
10,1,MIC5219-3.3YM5-TR,U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-TL,,MIC5219-3.3YM5-TR,MICROCHIP(美国微芯),C29613,LCSC
11,1,,U3,PWRM-TH_TP4056,,,https://detail.tmall.com/item.htm?_u=flu7n4fad7&id=599037664559,,